Domain,Accessible,url,Status Code,Redirect to another domain,HTML Size,GDPR blocking
10nbc.com,Yes,https://www.whec.com/,200,Yes,141739,No
10news.com,Yes,https://www.10news.com/,200,No,411292,No
11alive.com,Yes,https://www.11alive.com/,403,No,264,Yes
12news.com,Yes,https://www.12news.com/,403,No,264,Yes
13abc.com,Yes,https://www.13abc.com/,200,No,550716,No
13wmaz.com,Yes,https://www.13wmaz.com/,403,No,264,Yes
14news.com,Yes,https://www.14news.com/,200,No,598611,No
14wfie.com,Yes,https://www.14news.com/,200,Yes,598611,No
27east.com,Yes,https://www.27east.com/,200,No,161434,No
28news.com,No,http://28news.com/,,,,
38thespot.com,No,http://38thespot.com/,,,,
397news.com,Yes,http://397news.com/,200,No,122302,No
4bcaonline.com,Yes,http://www.4bcaonline.com/,200,No,36666,No
4utah.com,No,http://4utah.com/,,,,
58abc.com,Yes,http://www.58abc.com/,200,No,31471,No
5newsonline.com,Yes,https://www.5newsonline.com/,403,No,269,Yes
6onyourside.com,Yes,https://www.kivitv.com/,200,Yes,410504,No
7online.com,Yes,https://abc7ny.com/,200,Yes,385287,No
9news.com,Yes,https://www.9news.com/,403,No,263,Yes
a2indy.com,Yes,https://www.giganticbeanbags.com,200,Yes,87317,No
abc-11.com,No,http://abc-11.com/,,,,
abc-7.com,Yes,https://abc-7.com/,200,No,653709,No
abc.net.au,Yes,https://www.abc.net.au/,200,No,224113,No
abc10.com,Yes,https://www.abc10.com/,403,No,263,Yes
abc15.com,Yes,https://www.abc15.com/,200,No,413714,No
abc18-28.com,No,http://abc18-28.com/,,,,
abc22.com,Yes,https://www.mychamplainvalley.com/,451,Yes,3092,Yes
abc22.tv,No,http://abc22.tv/,,,,
abc23.com,Yes,https://www.abc23.com/,200,No,106561,No
abc24.com,Yes,https://www.localmemphis.com/,403,Yes,270,Yes
abc25.com,No,http://abc25.com/,,,,
abc26.com,Yes,http://abc26.com/,404,No,38621,No
abc28.com,Yes,http://abc28.com/,200,No,2826,No
abc30.com,Yes,https://abc30.com/,200,No,341767,No
abc3340.com,Yes,https://abc3340.com/,403,No,118,No
abc45.com,Yes,https://abc45.com/,403,No,118,No
abc6.com,Yes,https://www.abc6.com/,200,No,252446,No
abc7.com,Yes,https://abc7.com/,200,No,436491,No
abc7news.com,Yes,https://abc7news.com/,200,No,387526,No
abclocal.go.com,No,http://abclocal.go.com/,,,,
abcnews.go.com,Yes,https://abcnews.go.com/,200,No,283392,No
abcnewspapers.com,Yes,https://www.hometownsource.com/abc_newspapers/,451,Yes,7231,Yes
abcstlouis.com,Yes,https://abcstlouis.com/,403,No,118,No
aberdeennews.com,Yes,https://eu.aberdeennews.com/,200,No,172390,No
abilene-rc.com,Yes,http://www.abilene-rc.com/,451,No,4755,Yes
abqjournal.com,Yes,https://www.abqjournal.com/,200,No,559632,No
abs-cbn.com,Yes,http://abs-cbn.com/,403,No,261,Yes
acadianagazette.net,Yes,http://ww1.acadianagazette.net,200,No,2826,No
acfreepress.com,Yes,https://www.acfreepress.com/,200,No,1777198,No
ack.net,Yes,https://www.ack.net/,200,No,101559,No
adaherald.com,No,http://adaherald.com/,,,,
adaircountyfreepress.com,No,http://adaircountyfreepress.com/,,,,
adairprogress.com,Yes,https://www.adairprogress.com/,200,No,44385,No
adairvoice.com,Yes,https://adairvoice.com/,200,No,88252,No
addisonindependent.com,Yes,https://www.addisonindependent.com/,200,No,237235,No
adelaidenow.com.au,Yes,http://www.adelaidenow.com.au/,403,No,1176,No
adelnews.com,Yes,https://eu.adelnews.com/,404,No,21,No
adirondackdailyenterprise.com,Yes,https://www.adirondackdailyenterprise.com/,200,No,85447,No
adirondackexpress.com,Yes,https://www.adirondackexpress.com/,200,No,161914,No
adn.com,Yes,https://www.adn.com/,200,No,506395,No
advertiser-tribune.com,Yes,https://advertiser-tribune.com/,200,No,58406,No
advertiserdemocrat.com,Yes,https://www.sunjournal.com/weeklies/advertiser-democrat/,200,Yes,193770,No
advertisergleam.com,Yes,https://www.advertisergleam.com/,451,No,4554,Yes
advertisernewsnorth.com,Yes,https://www.advertisernewsnorth.com/,200,No,120267,No
advisor-chronicle.com,Yes,https://www.advisor-chronicle.com/,200,No,296147,No
advocate-news.com,Yes,https://www.advocate-news.com/,200,No,244496,No
advocate.com,Yes,https://www.advocate.com/,200,No,343818,No
advocateanddemocrat.com,Yes,https://www.advocateanddemocrat.com/,451,No,5053,Yes
advocatepress.com,Yes,https://www.hometownregister.com/,451,Yes,4259,Yes
adweek.com,Yes,https://www.adweek.com/,200,No,367916,No
afp.com,No,http://afp.com/,,,,
afr.com,Yes,https://www.afr.com/,200,No,954452,No
afro.com,Yes,https://afro.com/,200,No,258356,No
agalert.com,Yes,https://www.agalert.com/,200,No,927125,No
agjournalonline.com,Yes,https://www.agjournalonline.com/,200,No,119236,No
ahwatukee.com,Yes,https://www.ahwatukee.com/,451,No,4840,Yes
aikenstandard.com,Yes,https://www.postandcourier.com/aikenstandard/,200,Yes,523234,No
aim.org,Yes,https://www.aim.org/,200,No,79806,No
ainsworthnews.com,Yes,https://www.ainsworthnews.com/,200,No,50742,No
airforcetimes.com,Yes,https://www.airforcetimes.com/,200,No,617098,No
ajc.com,Yes,https://www.ajc.com/gdpr.html,200,No,497956,Yes
ajnews.com,Yes,http://ajnews.com/,404,No,13,No
akron.com,Yes,https://www.akron.com/,200,No,141075,No
akronhometowner.com,No,http://akronhometowner.com/,,,,
akronlegalnews.com,Yes,https://akronlegalnews.com/,200,No,11138,No
akronnewsreporter.com,Yes,https://www.akronnewsreporter.com/,200,No,189608,No
aksuperstation.com,Yes,https://www.aksuperstation.com/,200,No,414674,No
al.com,Yes,https://www.al.com/,200,No,405889,No
