Domain,Accessible,url,Status Code,Redirect to another domain,HTML Size,GDPR blocking
1010wcsi.com,Yes,https://1010wcsi.com/,200,No,120863,No
1019therock.com,Yes,https://1019therock.com/,200,No,203740,No
101highlandlakes.com,Yes,https://www.101highlandlakes.com/,200,No,141698,No
1025wfla.iheart.com,Yes,https://wflaorlando.iheart.com/,200,Yes,995370,No
1041kqth.com,Yes,https://www.myflr.org/1041tucson/,200,Yes,116282,No
1063cowboycountry.com,Yes,https://y95country.com/,200,Yes,179690,No
1063word.com,Yes,https://www.audacy.com/1063word,403,Yes,56,No
1070wapi.com,Yes,https://www.talk995.com/,200,Yes,94143,No
1140wrva.iheart.com,Yes,https://www.iheart.com/podcast/,200,Yes,204177,No
1150wima.iheart.com,Yes,https://1150wima.iheart.com/,200,No,937472,No
1170kfaq.com,Yes,http://www.theblitztulsa.com/,200,Yes,61272,No
1190kex.com/main.html,Yes,https://1190kex.iheart.com/,200,Yes,1077386,No
11thhouronline.com,Yes,https://www.soundandsoulonline.com,200,Yes,79484,No
1230thezone.iheart.com,Yes,https://1230thezone.iheart.com/,200,No,777703,No
12news.com,Yes,https://www.12news.com/,403,No,263,Yes
1350kman.com,Yes,https://1350kman.com/,200,No,206845,No
1390thefan.com,Yes,https://1390granitecitysports.com/,200,Yes,172248,No
13newsnow.com,Yes,https://www.13newsnow.com/,403,No,266,Yes
1410wizm.com,Yes,https://www.wizmnews.com/,200,Yes,121776,No
1490womi.com,Yes,https://womiowensboro.com/,200,Yes,181562,No
1600kush.com,Yes,https://www.1600kush.com/,200,No,78176,No
19actionnews.com,No,http://19actionnews.com/,,,,
26nbc.com,Yes,https://www.wrdw.com/,200,Yes,1164547,No
303magazine.com,Yes,http://303magazine.com/,403,No,3365,No
397news.com,Yes,http://397news.com/,200,No,121713,No
41nbc.com,Yes,https://www.41nbc.com/,200,No,470044,No
50plusny.com,Yes,http://50plusny.com/,200,No,39081,No
5280.com,Yes,https://www.5280.com/,200,No,80464,No
570wkbn.iheart.com,Yes,https://570wkbn.iheart.com/,200,No,991928,No
590kid.com,Yes,http://www.kidnewsradio.com,200,Yes,205424,No
590kqnt.iheart.com,Yes,https://590kqnt.iheart.com/,200,No,989639,No
5newsonline.com,Yes,https://www.5newsonline.com/,403,No,268,Yes
600wmtradio.iheart.com,Yes,https://600wmtradio.iheart.com/,200,No,970612,No
600wrec.iheart.com,Yes,https://600wrec.iheart.com/,200,No,995117,No
610kona.com,Yes,https://www.610kona.com/,200,No,84953,No
610wiod.com/main.html,Yes,https://wiod.iheart.com/,200,Yes,1119456,No
610wtvn.iheart.com,Yes,https://610wtvn.iheart.com/,200,No,990907,No
640whlo.iheart.com,Yes,https://640whlo.iheart.com/,200,No,1004872,No
650keni.iheart.com,Yes,https://650keni.iheart.com/,200,No,982014,No
670kboi.com,Yes,https://www.kboi.com/,200,Yes,116573,No
6abc.com,Yes,https://6abc.com/,200,No,345972,No
700wlw.iheart.com,Yes,https://700wlw.iheart.com/,200,No,1010805,No
710keel.com,Yes,https://710keel.com/,200,No,172543,No
710wor.iheart.com,Yes,https://710wor.iheart.com/,200,No,990583,No
770kkob.com,Yes,http://770kkob.com/,500,No,511,No
7online.com,Yes,https://abc7ny.com/,200,Yes,425911,No
800wvhu.iheart.com,Yes,https://800wvhu.iheart.com/,200,No,958409,No
890kdxu.com,Yes,https://www.890kdxu.com/,200,No,75097,No
920kvec.com,Yes,https://www.920kvec.com/,200,No,224796,No
920whjj.iheart.com,Yes,https://newsradiori.iheart.com/,200,Yes,940626,No
940wfaw.com,Yes,https://940wfaw.com/,200,No,57799,No
943wsc.iheart.com,Yes,https://943wsc.iheart.com/,200,No,996789,No
